,summary,correct,rouge1,rouge2,rougeL,rougeLsum
17,"Boa Vista er en øy i Kapp Verde, på sørkysten av Kapp Verde.
Øya ligger i provinsen Boa Vista i det sørøstlige Kapp Verde og har et areal på 88 kvadratkilometer.","Boa Vista er en øy i Atlanterhavet, den østligste av øyene i Kapp Verde.
Den ligger 450 kilometer fra kysten av Senegal, og har et areal på 620 kvadratkilometer.
Øya når opp i 387 meter over havet.",55.5556,31.4286,44.4444,52.7778
18,"Berg er en tidligere kommune i Halden kommune, i Viken fylke.
Kommunen grenser til Sarpsborg og Halden i sørøst, og har et areal på cirka 3400 kvadratkilometer.","Berg er en tidligere kommune som utgjør nordre del av den nåværende Halden kommune i Viken fylke.
Berg ble opprettet i 1837 i forbindelse med innføringen av det kommunale selvstyret.
Fra kommunen ble det i 1909, 1936 og 1950 overført mindre områder til Halden.
I 1967 ble Berg kommune, som da var 253 km2 og hadde 9673 innbyggere, og Idd (383 km2 og 7213 innbyggere), slått sammen med Halden.",34.2857,17.4757,28.5714,30.4762
19,"Enhetsstat er en stat som har en konstitusjonelt bestemt selvstendig myndighet.
Enhetsstaten har myndighet til å treffe politiske beslutninger.","Enhetsstat er en stat hvor den politiske myndighet er samlet i nasjonale organer og institusjoner.
I en slik stat har eventuelle lokale enheter bare delegert myndighet.",40.9091,14.2857,31.8182,40.9091
20,"Grasmarihånd er en art i marihåndfamilien.
Den finnes på grasmyr og strandenger, som regel på noe kalkholdig grunn.
Den er sjeldnere i åstrakter og fjellskog.","Engmarihånd er en plante som er en av de vanligere og mest utbredte av orkidéene i marihåndslekta.
Blomstringstid for engmarihånd er forsommer til midtsommer.
Engmarihånd består av to underarter: grasmarihånd, som er ganske utbredt i Norge, og dynemarihånd, som er begrensa til noen få steder ved strender i Agder og Rogaland.",25.5814,9.5238,23.2558,25.5814
21,Ansvarlig selskap er en selskapsform som er regulert i lov av 21. juni 1985 om ansvarlige selskaper og kommandittselskaper (selskapsloven).,"Ansvarlig selskap, forkortet ANS, er et selskap hvor selskapsdeltakerne hefter for selskapets forpliktelser med hele sin formue, både med det de eier i selskapet og det de eier privat.
Deltakernes ansvar vil vanligvis være ubegrenset og solidarisk, det vil si at en selskapskreditor kan gjøre en deltaker ansvarlig for hele selskapsgjelden, også den del av gjelden som etter forholdet mellom deltakerne skal bæres av en annen selskapsdeltaker.
Det kan avtales at deltagernes ansvar ikke skal være solidarisk, men at den enkelte deltakers ansvar skal være begrenset til en del av selskapsgjelden.
Deltakernes samlede forpliktelser må i så tilfelle utgjøre selskapets samlede forpliktelser.
Slike selskaper betegnes DA.",15.0376,1.5267,10.5263,13.5338
22,"Datapak er en kommunikasjonstjeneste som ble utviklet av Telenor i 1984.
Tjenesten ble integrert i ISDN.","Datapak var en datakommunikasjonstjeneste som ble drevet av Televerket.
Tjenesten benyttet et eget pakkesvitsjet nett med enten fast forbindelse (X.25) eller oppringt forbindelse (X.28).",28.5714,5.0,28.5714,28.5714
23,"Botanybukta er en bukt i Australia, i delstaten New South Wales, sørøst for Sydney.
Bukta ligger i provinsen Queensland, og har et areal på rundt 3400 kvadratkilometer.","Botany Bay er en bukt på sørøstkysten av Australia, i Sydneys storbyområde i delstaten New South Wales.
Elvene Georges og Cooks renner ut i bukta.",59.6491,29.0909,35.0877,42.1053
24,"Baldwin var en amerikansk lokomotivfabrikk som ble grunnlagt i London i 1855.
Fabrikken produserte blant annet damplokomotiver, særlig i Sørstatene.","Matthias William Baldwin, amerikansk industrimann.
Baldwin startet lokomotivproduksjon i 1832, og hans Baldwin Locomotive Works i Philadelphia var verdens største lokomotivfabrikk med 55 000 ansatte.
Han videreutviklet damplokomotivet, bl.a.
ved å gjøre det mulig å benytte et høyere damptrykk.",19.0476,0.0,12.6984,12.6984
25,"Aitolia var et distrikt i Mellom-Hellas i den greske antikken.
Aitolerne var kjent som leiesoldater i kampen mot romerne.","Aitolia var et fjell-landskap i det gamle Mellom-Hellas nord for den ytre delen av Korintbukta.
Etter sagnet er landskapet oppkalt etter Aitolos.",31.8182,14.2857,31.8182,31.8182
26,"Buholmråsa fyr er en fyrstasjon i Troms og Finnmark fylke.
Den ble opprettet i 1944 for å erstatte Raudøy fyr og lyse opp søndre del av havstykket Folda.","Buholmråsa fyr er en fyrstasjon på Sønnaholmen utenfor Svesfjorden i Osen kommune i Trøndelag fylke.
Den ble opprettet som ledfyr i 1917, automatisert i 1989 og avbemannet i 1994.",45.1613,26.6667,41.9355,45.1613
27,Det kongelige forsynings- og gjenreisningsdepartementet var en sentraladministrasjon som ble opprettet i 1945.,"Direktoratet for fiendtlig eiendom ble opprettet ved provisorisk anordning i 1945, nedlagt i 1953.
Det hadde vidtgående myndighet til å styre det gods som etter loven var å anse som fiendtlig eiendom.",31.8182,9.5238,18.1818,31.8182
28,"Comayagua er en by i Honduras, hovedstad i den selvstendige republikken Honduras.
Byen ligger på grensen mellom Nicaragua og Guatemala.","Comayagua er en by i sentrale Honduras ved elven Humuya, 80 kilometer nordvest for hovedstaden Tegucigalpa.
Byen har 108 850 innbyggere (INEH, 2019), og utgjør hovedstaden i provinsen med samme navn.
Comayagua er et handelssenter med produksjon av sko, sement og keramikk.
Som landets tidligere hovedstad har byen mange bygninger fra den spanske kolonitiden.",29.3333,10.9589,21.3333,29.3333
29,"Cavendish var en engelsk hertugtittel.
Tittelen ble opprinnelig brukt om hertugene av Devonshire og Newcastle.","Cavendish er en engelsk adelsslekt, som stammer fra dommeren sir John Cavendish (død 1381) og dennes etterkommer sir William Cavendish (ca.
1505–1557).
Slekten Cavendish er en av Englands største godseierslekter.
Slektens overhode innehar fra 1694 tittelen duke of Devonshire.
Grener av slekten fører titlene baron Waterpark (fra 1792) og baron Chesham (fra 1858).",19.4444,2.8571,16.6667,19.4444
30,"Colorado er en urfolksgruppe i søramerikanske urfolk i den vestlige tropiske delen av Ecuador.
De er en av de største urbefolkningene i Sør-Amerika.",Colorado er en folkegruppe i det nordvestlige Ecuador som språklig er tilknyttet barbacoa-familien innenfor makro-chibcha phylum.,26.087,9.0909,26.087,21.7391
31,"Anne Bradstreet var en amerikansk lyriker.
Hun ble født i New York, og var en av de første kvinnelige forfatterne i USA.","Anne Bradstreet var en amerikansk lyriker, som var født og gift i England, men kom til kolonien Massachusetts i 1630.",53.3333,27.907,44.4444,35.5556
32,"Bileam er en hebraisk tittel på en sønn av Beors sønn Beor.
Han ble født i Babylon, og ble ifølge tradisjonen i Det gamle testamentet og Tanakh en av de viktigste jødiske tradisjonene i det gamle Israel.","Bileam er en bibelsk skikkelse.
Ifølge fjerde Mosebok (kapittel 22–24) var Bileam en ikke-israelittisk seer som ble tilkalt av moabitterkongen Balak for å forbanne Israels stammer, men som istedet velsignet dem.",24.0,8.2192,21.3333,21.3333
33,"Blokkevier er en urt i vierfamilien.
Den er svært sjelden i Norge, men finnes kun spredt fra Bardu og Målselv i Troms og østover i nordlige strøk gjennom Eurasia.","Blokkevier er en liten buskforma art i vierfamilien som finnes spredt fra Bardu og østover i Nord-Norge og kun noen få steder i Sør-Norge.
Buskene er mindre enn en halv meter høye og er tett forgreina med avlange, grønne blader som er bleike på undersida.",41.4634,20.0,31.7073,34.1463
34,"Henri Dadié var en fransk forfatter.
Han var en av de fremste forfatterne fra det franskspråklige Afrika.","Bernard Binlin Dadié var en forfatter og politiker fra Elfenbenskysten.
Som politiker var han blant annet kulturminister i Elfenbenskysten en rekke år.
Som ung ble han av og til regnet som representant for négritude–bevegelsen, men han hører ikke til de mest typiske representantene for bevegelsen.",30.303,6.25,24.2424,30.303
35,"Balsamico er en italiensk urt som brukes i dressinger og marinader, for eksempel på ost eller spekemat.
Balsamico brukes også som dressing og marinade.","Balsamico er en eddik med mørk farge og intens, søtlig smak som er en vanlig ingrediens i det italienske kjøkkenet.
Den fremstilles av innkokt druesaft, som deretter gjæres og modnes på trefat i minst tolv år.",31.25,6.4516,21.875,28.125
36,"Nils Egge var en norsk komponist.
Han var en av de mest kjente norske komponistene i etterkrigstiden.","Klaus Egge, norsk komponist, organisasjonsmann og kritiker som var en sentral skikkelse i norsk musikkliv i etterkrigstiden.",47.0588,18.75,47.0588,35.2941
37,"Biorytme er en forestilling om at menneskets dagsform skal være like for alle mennesker.
Biorytmen er svært forskjellig fra cirkadisk rytme, hvor den fysiske rytmen starter på nullpunktet den dagen man fødes, den følelsesmessige rytmen på 28 dager og den intellektuelle rytme på 33 dager.","Biorytme er en regelmessig svingning i levende organismer, for eksempel menstruasjonssyklusen eller søvnrytmen (se døgnrytme, jetlag).",11.9403,6.1538,11.9403,11.9403
38,"Brigg var et fartøy som ble brukt på kysten i Middelhavet og oversjøisk.
Briggen var en forenkling av fullriggeren, som var rigget med skværseil på formasta og sneiseil på stortoppstangen.","Brigg er et tomastet, mellomstort seilskip med rær på begge master.
Stormasten har også gaffelseil, såkalt briggseil.
Briggen hadde sin glansperiode på 1800-tallet, og ble bygget fra Middelhavet i sør til Nordsjøen og Østersjøen i nord.
De største ble opp mot 1000 tonn.",28.9157,0.0,14.4578,24.0964
39,Eilert Sundts lov forutsetter stabilitet i alle kjennetegn i et fødselskull unntatt den absolutte størrelsen.,"Eilert Sundts lov er en betegnelse på det fenomenet at antall giftermål (nye ekteskap) i et bestemt tidsrom vil variere i takt med antall fødsler på et tidligere tidspunkt, slik at det oppstår bølgebevegelser i befolkningsutviklingen.",24.5614,10.9091,21.0526,21.0526
40,Ars combinatoria er en teknikk for å regne ut riktige svar innenfor matematikk og naturvitenskap.,Ars combinatoria er kunst eller teknikk som gjør det mulig å danne og kombinere komplekse begreper ved å ta utgangspunkt i de enkle (primitive) begreper.,26.3158,11.1111,26.3158,26.3158
41,"Drageskip var et vikingskip som ble brukt i vikingtiden for å plassere de tapreste mennene, stavnbuene og skjoldene.","Drage var et større hærskip i vikingtiden fra Harald Hårfagres tid og utover, gjerne med et dragehode i stevnen.",25.641,10.8108,25.641,25.641
42,"Diorama er en billedfremstilling av et maleri på en duk, på glassbiter malt på én eller begge sider eller annet.
Ved å belyse et bilde på en transparent duk, kan man oppnå en tredimensjonal virkning ved hjelp av sett-kulisser og perspektiviske illusjoner.","Diorama er et illusjonistisk tredimensjonalt helhetsbilde oppnådd ved hjelp av dekorasjoner og gjenstander.
Det brukes særlig i pedagogisk øyemed ved museer.",27.6923,9.5238,24.6154,27.6923
43,"Åkersteinfrø er en urt i rubladfamilien.
Den er trolig kommet til Norge med eldre tiders jordbruk.
Den finnes nå på svært få lokaliteter, for eksempel Hovedøya innerst i Oslofjorden og på Kirkøy i Hvaler kommune.
Arten er vurdert som kritisk trua – CR – i Rødlista 2021.","Åkersteinfrø er en plante i rubladfamilien.
Den er en ettårig urt som blir opptil 40 centimeter høy.
Plantene har strie hår og små, hvite blomster.
Dette er et gammelt ugras knytta til gammelt åkerbruk som har gått sterkt tilbake og nå er vurdert som kritisk trua.",36.3636,18.5567,28.2828,34.3434
44,"Adopsjon er å gi et barn en eller to foreldre og sikre et godt og varig hjem for barnet.
Adoptivforeldrene får det samme foreldreansvaret som andre foreldre og de samme rettighetene etter et eventuelt samlivsbrudd.","Adopsjon er det å ta til seg en person som sitt eget barn.
Når en person blir adoptert får personen nye foreldre.
For en generasjon siden kom de fleste adoptivbarn fra utlandet, i dag har vi først og fremst innenlandsadopsjoner.
I de fleste tilfellene er det en sosial familierelasjon mellom barn og foreldre fra før som følge av at barna allerede har en posisjon som stebarn eller fosterbarn.",28.0374,3.8095,18.6916,20.5607
45,"Bjørnsjøen er et vann i Oslo kommune i Viken fylke.
Vannet ligger i østenden av Nordmarka i Nordmarka.","Bjørnsjøen er et vann i Oslo som er en del av Nordmarksvassdraget.
Det er det største vannet i Nordmarka, beliggende 337 meter over havet og et areal på 1,632 kvadratkilometer.
Det erregulert cirka 7 meter.",40.678,28.0702,37.2881,40.678
46,Hans Bethe var en tysk fysiker som fikk Nobelprisen i fysikk i 1938 for teorien om karbon-nitrogensyklusen som et viktig ledd ved fusjonsprosessene og energiproduksjonen i stjernene.,"Hans Bethe var en tysk-amerikansk fysiker.
Han fikk nobelprisen i fysikk i 1967 for sitt arbeid med teorien for nukleosyntese i stjerner – hvordan tunge grunnstoffer dannes ved fusjon i stjerner.
Under andre verdenskrig spilte Bethe en aktiv rolle i utviklingen av atombomben.",42.2535,23.1884,42.2535,42.2535
47,"Arbeidstegning er en tegning som fremstilles ved hjelp av dataassistert konstruksjon.
Tegningen er basert på en datamaskin som utfører tekniske tegninger og beregninger integrert i DAK-systemer.","En arbeidstegning er en tegning av ett eller flere arbeidsstykker som hører sammen, og som er påført alle mål som brukes som grunnlag for konstruksjonen på byggeplasser og verksteder.
I motsetning til arbeidstegninger omfatter sammenstillingstegninger og arrangementstegninger bare hovedmål.",36.1111,8.5714,27.7778,25.0
48,"Dronninggambit er en åpning i sjakk der hvit spiller bonden fra feltet d2 til d4, og svart slår på d5.","Dronninggambit er et åpningssystem i sjakk der både hvit og svart starter med å flytte bonden som står foran dronninga.
Hvit angriper straks svarts sentrum og utvikler brikkene raskt.
I trekk 2 tilbyr hvit å ofre en bonde, og det kalles en gambit.",34.375,12.9032,28.125,28.125
49,"Pierre Delors var en fransk politiker.
Han var Frankrikes president i Europakommisjonen fra 1981 til 1984.","Jacques Delors, fransk økonom og politiker for sosialistpartiet, som var president i Europakommisjonen fra 1985 til 1994.",54.5455,19.3548,54.5455,54.5455
50,"Ancona er en by i Italia, i provinsen Ancona, ved elven Ancona.
Byen ligger ved foten av Adriaterhavet.","Ancona er en by i Italia, hovedstad i regionen Marche, ved Adriaterhavet.
Byen har 100 211 innbyggere (2020).",55.5556,29.4118,50.0,55.5556
51,"Birmingham er en by i Storbritannia, England, i grevskapet West Midlans.
Byen ligger i provinsen West Midlands, ved elven Avon, og har et areal på cirka 3400 kvadratkilometer.","Birmingham er en by i Storbritannia, England, Warwickshire, 110 kilometer nordvest for London.
Den er Englands nest største by og senter i et av landets viktigste industriområder, har 1 073 045 innbyggere i 2011 og et areal på 268 kvadratkilometer.
Byen ligger på et platå, Birminghamplatået, som er fra 150 til 300 meter over havet.
Sørvest for byen ligger åsene Lickey Hills, Clent Hills og Walton Hill der det høyeste punktet er 315 meter over havet, med god utsikt over byen.",29.8246,16.0714,24.5614,29.8246
52,"Birgittinerordenen er en katolsk klosterorden som ble stiftet i 1436 av en svensk-amerikansk sykepleier, Elisabeth Hesselblad (1870–1957).
Ordenen ble nedlagt i reformasjonstiden, da den ble kraftig svekket under reformasjonen.","Birgittinerordenen er en klosterorden som ble stiftet av den svenske helgenen Birgitta (1303–1373).
Hovedklosteret var Vadstena.",41.6667,21.7391,37.5,41.6667
53,Den kalde krigen var en internasjonal avtale mellom USA og Sovjetunionen om å utvikle atomvåpen i Europa.,"Dobbeltvedtaket er et NATO-vedtak fra 1979 om utplassering av opptil 572 mellomdistanseraketter i Europa.
Vedtaket var et svar på Sovjetunionens utplassering av SS 20-raketter og var ment som en modernisering av NATOs kjernefysiske mellomdistansevåpen.
Selve utplasseringen ble utsatt, fordi NATO-landene ville bruke vedtaket som forhandlingskort overfor Sovjetunionen med tanke på å redusere det totale antall atomvåpen i Europa.",22.7848,7.7922,17.7215,17.7215
54,Bånddannelse er en forandring i celledelingene hos planter i vekstpunktet (meristemet) som fører til en båndformet stengel.,"Bånddannelse er en utvikling som fører til at planteorganer som normalt er sylindriske, blir mer eller mindre flattrykte.",40.0,31.5789,40.0,40.0
55,Dioderekkedektor er en detektor som registrerer lysabsorpsjonen til alle bølgelengder av lys.,"Dioderekkedetektor er en lysmåler som brukes i kjemisk analyse.
Den kan måle alle bølgelengder av UV- og synlig lys på én gang.
Det er en rask detektor og brukes derfor mye til HPLC.",40.8163,17.0213,32.6531,40.8163
56,Delativ er ein kasus som blir brukt i grammatikken til å skilje kasusa sublativ og superessiv ved substantivet szék'stol'.,"Delativ er i grammatikken ein kasus som tyder 'frå overflata av'.
Det kan brukast i setningar der vi på norsk ville seie «Han tok vekk matta vekk frå golvet» eller «Fuglen flaug bort frå taket».",25.4545,15.0943,21.8182,21.8182
57,"Nils Chorell var en finsk forfatter.
Han debuterte i 1952 med romantrilogien Miriam (1954), som ble fulgt av en rekke skuespill.","Walentin Chorell var en finlandssvensk forfatter.
Han begynte som lyriker, men skrev senere romaner og skuespill.",37.8378,17.1429,37.8378,37.8378
58,"Georg Diesterweg var en tysk pedagog.
Han var professor i pedagogikk ved universitetet i Berlin fra 1832 til 1847.","Adolph Diesterweg var en tysk pedagog.
Han arbeidet for folkeopplysning, bedre lærerutdannelse og en pedagogikk etter Johann Heinrich Pestalozzis ideer.
Han var rektor ved lærerseminaret i Berlin fra 1831.",48.0,33.3333,44.0,48.0
59,"Jean-Baptiste Chamfort var en fransk forfatter.
Han ble født i Paris, men flyttet til Paris i 1917.","Nicolas Sébastien Roch de Chamfort, fransk forfatter.
Han var tilhenger av den franske revolusjon, men motstander av terroren i 1790-årene.
Han tok sitt eget liv.",30.4348,9.0909,26.087,30.4348
60,"Personlighetspsykologi er en vitenskapelig tilnærming til hvordan mennesker tenker, føler og handler.
Det finnes mange forskjellige typer personlighetstester som brukes i dag.","Personlighetstester er en måte å måle personlighet på, altså en metode for å oppdage og beskrive stabile individuelle forskjeller mellom mennesker i tanker, følelser og atferd.
Vitenskapelig personlighetspsykologi skal både beskrive hva personligheten består av, måle denne tilfredsstillende, og kunne predikere fremtidig atferd på bakgrunn av målingene.",23.6842,2.7027,13.1579,21.0526
61,"Blue Note Records er et britisk plateselskap som ble grunnlagt i 1940, og som i dag eies av Universal Music Group.","Blue Note Records, sentralt platemerke innen jazzen, etablert i USA i 1939 av to tyske immigranter, Alfred Lion og Francis Wolff.
Selskapet hadde sin gullalder i 1950- og 60-årene.",27.451,8.1633,23.5294,27.451
62,"Nicolae Brătianu var en rumensk politiker.
Han var Romanias statsminister 1876–1888, unntatt en kort periode i 1881.","Ion C. Brătianu var en rumensk politiker.
Han var Romanias statsminister i periodene 1876–1881 og 1881–1888.",73.6842,50.0,63.1579,63.1579
63,"E-post er en elektronisk melding som sendes fra en datamaskin til en mottaker.
Dette kalles vanligvis e-post.","E-post er dokumenter og meldinger som blir sendt over et datanettverk, fra en datamaskin til en annen.
Mottaker og avsender leser og skriver sin post i en e-postleser, f.eks.
Microsofts Outlook eller Apples Mail, der brukeren kan oppbevare, sortere og søke i sine meldinger.
Mange har også e-post via en nettside, som for eksempel Google sin gmail.com eller outlook.com—nettsideversjonen av Microsoft sin e-postklient.",28.5714,15.7303,26.3736,26.3736
64,"Antigua og Barbuda er en øy i det nordøstlige Atlanterhavet.
Øya ligger på øyas østkyst, og har et areal på cirka 3400 kvadratkilometer.
Hovedstaden er Saint John's.","Folketallet i Antigua og Barbuda ble i 2021 beregnet til 99 175.
Forventet levealder er 79,9 år for kvinner og 75,4 år for menn.
Innbyggerne er hovedsakelig av afrikansk opprinnelse og er etterkommere av slaver som ble brakt til Antigua for å arbeide på sukkerplantasjer.",21.3333,5.4795,16.0,21.3333
65,"Anna Colbjørnsdatter Ramus var en norsk hæroffiser.
Hun var datter av Olav Colbjørnsen Ramus.","Anna Colbjørnsdatter var halvsøster av Hans og Peder Colbjørnsen og gift med sogneprest til Norderhov, Jonas Ramus.",43.2432,17.1429,43.2432,43.2432
66,"Åbjøra er en elv i Bindal kommune i Nordland.
Elva har et nedbørfelt på 520 kvadratkilometer.","Åbjøra er en elv i Bindal kommune i Nordland fylke.
Nedre del kalles Åelva, og den samlede lengden er 59 kilometer.",55.0,47.3684,55.0,55.0
67,"John Alexander var en britisk offiser og forsvarsminister.
Han var sjef for Sør-Englands forsvar i 1940–1944 og øverstbefalende i middelhavsområdet i 1944–1944.","Harold Alexander var en britisk feltmarskalk og politiker, kjent for sin innsats under andre verdenskrig.",28.5714,15.0,28.5714,23.8095
68,"Giovanni Battista Bandello var en italiensk forfatter.
Han regnes som en av de mest betydningsfulle italienske forfatterne i renessansen.",Matteo Bandello var en italiensk forfatter og den betydeligste italienske novelleforfatteren på 1500-tallet.,36.3636,25.8065,36.3636,30.303
69,"Abelia er en norsk arbeidsgiverforening som ble stiftet i 2001.
Foreningen ble grunnlagt i 2001 av NHO.","Abelia er en norsk arbeidsgiverorganisasjon og bransjeorganisasjon som organiserer kunnskaps- og teknologibedrifter.
Organisasjonen er tilsluttet Næringslivets Hovedorganisasjon (NHO) som en landsforening og har hovedkontor i Oslo.",31.8182,14.2857,27.2727,31.8182
70,"Dnestr er en elv i Ukraina og Moldova.
Den er en bielv til Svartehavet.","Dnestr er en elv i Øst-Europa.
Den er 1352 kilometer lang, med et nedbørfelt på 72 100 kvadratkilometer.",41.1765,31.25,41.1765,41.1765
71,"Charles Thomas Coates var en britisk dirigent.
Han var sjefdirigent ved operaen i Elberfeld (nåværende Wuppertal) i 1906–1908 og assistent for Ernst von Schuch i Dresden i 1909–1910.","Albert Coates var en engelsk dirigent og komponist.
Han huskes særlig som en ledende dirigent innenfor romantikkens russiske og engelske repertoar.
Hans fremførelser var kjennetegnet av stor kraft og energi.",21.875,6.4516,21.875,21.875
72,"Chuck Berry var en amerikansk sanger, gitarist og komponist.
Han var en av de mest populære rockeartistene i 1950-årene.","Chuck Berry var en amerikansk sanger og musiker, og en av rockens største innovatører, stilskapere, gitarister og låtskrivere.
Han har inspirert tusener av rockemusikere med sin blanding av blues, country, rockabilly og vittige tekster som appellerte til både hvit og svart ungdom.
Berry ble også kjent for sitt sceneshow, der han framførte sin særegne «duckwalk» mens han spilte gitar.",27.907,16.6667,25.5814,27.907
